総覧ID,総覧抄録ID,種別,時代,主な遺構,住居,掘立,井戸,道路,主な遺物,特記事項,遺跡名,遺跡名かな,本内順位,遺跡所在地,lon,lat,所在地ふりがな,市町村コード,遺跡番号,北緯（日本測地系）,東経（日本測地系）,北緯（世界測地系）,東経（世界測地系）,調査期間,調査面積,調査面積2,調査原因
26890,43036,集落,奈良|平安,住居跡23|建物跡10|土坑19|溝2|道路状遺構1|性格不明遺構8|ピット164,,,,1,土師器|須恵器|土師質土器|灰釉陶器|緑釉陶器|白磁|瓦|土製品|円面硯|鉄製品（鎌|刀子|鉄鏃|鉸具|錠前|壺金具）|銅製品（八花鏡|六角飾鋲）|砥石,完形小型八花鏡の出土。9世紀後半代の出土例としては、きわめて希少な資料である。,清水が丘遺跡（武蔵国府関連遺跡）,しみずがおかいせき（むさしこくふかんれんいせき）,,東京都府中市清水が丘二丁目地内,139.495667,35.665409,とうきょうとふちゅうししみずがおかにちょうめちない,13206,26,354000,1392949,,,20021118-20030320|20030401-20030831|20040426-20040521,3000|1372|100,4472,府中市都市計画道路3・4・7号線建設事業
62553,44095,集落,古代(細分不明),土坑4＋溝1,,,,,土師器|須恵器|灰釉陶器,,武蔵国関連遺跡　府中市八幡町一丁目計画新築工事地区　第1733次,むさしこくふかんれん遺跡,,東京都府中市八幡町1-13-1他,139.484283,35.66951,とうきょうとふちゅうしはちまんちょう1-13-1ほか,13206,2,354032,1392904,,,20160402-20160523,240,240,宅地造成
24566,44768,集落,古代(細分不明),,,,,,土師器|須恵器|瓦|塼,,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市寿町一丁目5の4・6,139.478561,35.673687,とうきょうとふちゅうしことぶきちょういっちょうめ5の4・6,13206,2,354025,1392841,,,20070806-20080125,1732,1732,東京消防庁府中消防署新築工事
25234,47592,集落,奈良|平安,住居跡13|柵3|建物跡4|土坑46|井戸1|溝2|流木群2,,,1,,土師器|須恵器|灰釉陶器|土製品|焼成粘土塊|土製支脚|砥石|石製品|鉄製品（鎌・刀子・釘・棒状製品・金具）,,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市寿町1の10の2,139.478683,35.675373,とうきょうとふちゅうしことぶきちょう1の10の2,13206,2,354032,1392834,,,20100804-20100903,538,538,都立農業高等学校実習棟改築その他工事
25661,47596,集落,奈良|平安,住居跡18|土坑8,,,,,土師器|須恵器|灰釉陶器|瓦|鉄鏃|刀子|鉄釘|丸鞆,,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市宮西町一丁目26番地,139.477341,35.67115,とうきょうとふちゅうしみやにしちょういっちょうめ26ばんち,13206,2,354014,1392838,,,20120116-20120322,410,410,府中合同庁舎改築事業
26895,49064,集落,古代(細分不明),溝2|ピット6,,,,,土師器|須恵器|灰釉陶器|瓦,,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市若松町一丁目,139.50029,35.668804,とうきょうとふちゅうしわかまつちょういっちょうめ,13206,2,354009,1392952,,,20030924-20031031,240,240,歩道設置工事
27727,50655,官衙,古代(細分不明),土坑|落込み,,,,,緑釉陶器|土師器|須恵器|土製品,古代以降の旧河川・湧水自然流路,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市緑町一丁目27番1,139.484695,35.673508,とうきょうとふちゅうしみどりちょういっちょうめ27ばん1,13206,2,354024,1392905,,,20141027-20141114,50,50,東京都北多摩南部建設事務所改修工事
28704,50706,集落,奈良|平安,道路状遺構1|住居跡7|土坑2|落込み6|ピット44,,,,1,須恵器|土師器|瓦|紡錘車|鉄釘|鉄製刀子|鉄鏃|鉄鎌|刀装具|石製品,武蔵国府域のマチの調査,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市日吉町5番地,139.481644,35.666351,とうきょうとふちゅうしひよしちょう5ばんち,13206,2,354001,1392913,,,20041209-20050627,740,740,配水本管新設工事
28724,50712,集落,奈良|平安,住居跡33|掘立柱建物跡12|土坑12|溝2|道路状遺構2|ピット242,,12,,1,土師器|須恵器|灰釉陶器|緑釉陶器|青磁|瓦|石製品（石帯・砥石）|鉄器（鉄鍋・鉄鏃・鉸具）|銭貨,「富寿神宝」1点、越州窯青磁椀2点出土。ピットより「多磨寺」創建期の軒丸瓦片出土。,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市寿町1の10の2,139.478683,35.675373,とうきょうとふちゅうしことぶきちょう1の10の2,13206,2-227,354032,1392842,,,20051114-20060214,1021,1021,都立農業高等学校耐震補強及び一部改築工事
28729,50713,散布地,奈良|平安,,,,,,土師器|須恵器|砥石,,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市宮町一丁目地内,139.481461,35.67123,とうきょうとふちゅうしみやまちいっちょうめちない,13206,2,354015,1392901,,,20040806-20041105|20050509-20051003,500|1100,1600,都市計画道路3・4・18号線整備事業
28729,90777,官衙|集落,古代(細分不明),竪穴建物68|掘立柱建物35|柵5|道路1|土坑88|溝9|その他11,68,35,,1,土師器|須恵器|瓦|土製品|鉄製品|銅製品|石製品|石器,,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市本町一丁目地内,139.477997,35.66647,とうきょうとふちゅうしほんまちいっちょうめちない,13206,2,353957,1392844,,,20040921-20041007,209,209,都市計画道路3・4・22号線整備事業
